,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,ROMI,Profit,ROI,profit
0,1.0,Peoria,Arizona,Region 2,Old,2601.0,48610.0,18.68896578,46009,1768.9,46009.0
1,2.0,Midland,Texas,Region 2,Old,2727.0,45689.0,16.75430876,42962,1575.43,42962.0
2,3.0,Spokane,Washington,Region 2,Old,2768.0,49554.0,17.90245665,46786,1690.25,46786.0
3,4.0,Denton,Texas,Region 2,Old,2759.0,38284.0,13.87604204,35525,1287.6,35525.0
4,5.0,Overland Park,Kansas,Region 2,Old,2869.0,59887.0,20.87382363,57018,1987.38,57018.0
5,6.0,Yonkers,New York,Region 1,Old,3080.0,53827.0,17.4762987,50747,1647.63,50747.0
6,7.0,Birmingham,Alabama,Region 1,Old,3110.0,60338.0,19.40128617,57228,1840.13,57228.0
7,8.0,Antioch,California,Region 2,Old,2593.0,19569.0,7.546856922,16976,654.69,16976.0
8,9.0,Worcester,Massachusetts,Region 1,Old,2675.0,59840.0,22.37009346,57165,2137.01,57165.0
9,10.0,Rochester,New York,Region 1,Old,2984.0,64906.0,21.75134048,61922,2075.13,61922.0
10,11.0,Rialto,California,Region 2,Old,2541.0,16860.0,6.635182999,14319,563.52,14319.0
11,12.0,Santa Maria,California,Region 2,Old,2651.0,21988.0,8.294228593,19337,729.42,19337.0
12,13.0,Las Cruces,New Mexico,Region 2,Old,2895.0,19888.0,6.869775475,16993,586.98,16993.0
13,14.0,Jackson,Mississippi,Region 1,Old,3466.0,54701.0,15.78216965,51235,1478.22,51235.0
14,15.0,Hillsboro,Oregon,Region 2,Old,2686.0,18471.0,6.876768429,15785,587.68,15785.0
15,16.0,Temecula,California,Region 2,Old,2795.0,16690.0,5.97137746,13895,497.14,13895.0
16,17.0,Tallahassee,Florida,Region 1,Old,2737.0,47729.0,17.43843624,44992,1643.84,44992.0
17,18.0,Fontana,California,Region 2,Old,3085.0,63027.0,20.43014587,59942,1943.01,59942.0
18,19.0,Kent,Washington,Region 2,Old,2894.0,43183.0,14.92156185,40289,1392.16,40289.0
19,20.0,Broken Arrow,Oklahoma,Region 2,Old,2765.0,19120.0,6.915009042,16355,591.5,16355.0
20,21.0,Concord,California,Region 2,Old,2521.0,38178.0,15.14399048,35657,1414.4,35657.0
21,22.0,Modesto,California,Region 2,Old,3077.0,56836.0,18.47123822,53759,1747.12,53759.0
22,23.0,Montgomery,Alabama,Region 1,Old,3287.0,52114.0,15.85457864,48827,1485.46,48827.0
23,24.0,Burbank,California,Region 2,Old,3679.0,20123.0,5.469692851,16444,446.97,16444.0
24,25.0,Elk Grove,California,Region 2,Old,2918.0,49856.0,17.08567512,46938,1608.57,46938.0
25,26.0,Port St. Lucie,Florida,Region 1,Old,2420.0,55790.0,23.05371901,53370,2205.37,53370.0
26,27.0,Elizabeth,New Jersey,Region 1,Old,2557.0,45017.0,17.60539695,42460,1660.54,42460.0
27,28.0,Salt Lake City,Utah,Region 2,Old,3620.0,56921.0,15.72403315,53301,1472.4,53301.0
28,29.0,Waco,Texas,Region 2,Old,2483.0,39744.0,16.00644382,37261,1500.64,37261.0
29,30.0,Edison,New Jersey,Region 1,Old,3131.0,22972.0,7.33695305,19841,633.7,19841.0
30,31.0,Boulder,Colorado,Region 2,Old,3083.0,22680.0,7.35647097,19597,635.65,19597.0
31,32.0,Grand Rapids,Michigan,Region 1,Old,2808.0,65475.0,23.31730769,62667,2231.73,62667.0
32,33.0,Tyler,Texas,Region 2,Old,2984.0,21718.0,7.278150134,18734,627.82,18734.0
33,34.0,Charleston,South Carolina,Region 1,Old,2484.0,34829.0,14.02133655,32345,1302.13,32345.0
34,35.0,Huntsville,Alabama,Region 1,Old,3335.0,59283.0,17.77601199,55948,1677.6,55948.0
35,36.0,Pearland,Texas,Region 2,Old,3127.0,20057.0,6.414134954,16930,541.41,16930.0
36,37.0,Inglewood,California,Region 2,Old,2904.0,20455.0,7.043732782,17551,604.37,17551.0
37,38.0,Oxnard,California,Region 2,Old,2318.0,64302.0,27.74029336,61984,2674.03,61984.0
38,39.0,Miramar,Florida,Region 1,Old,3488.0,49506.0,14.19323394,46018,1319.32,46018.0
39,40.0,Cape Coral,Florida,Region 1,Old,2886.0,52250.0,18.1046431,49364,1710.46,49364.0
40,41.0,Syracuse,New York,Region 1,Old,2373.0,41313.0,17.40960809,38940,1640.96,38940.0
41,42.0,Newport News,Virginia,Region 1,Old,2758.0,57625.0,20.8937636,54867,1989.38,54867.0
42,43.0,Lewisville,Texas,Region 2,Old,2607.0,16029.0,6.14844649,13422,514.84,13422.0
43,44.0,Carrollton,Texas,Region 2,Old,3146.0,49191.0,15.63604577,46045,1463.6,46045.0
44,45.0,San Bernardino,California,Region 2,Old,3399.0,59870.0,17.61400412,56471,1661.4,56471.0
45,46.0,Pasadena,California,Region 2,Old,2790.0,48254.0,17.2953405,45464,1629.53,45464.0
46,47.0,Roseville,California,Region 2,Old,3220.0,43397.0,13.47732919,40177,1247.73,40177.0
47,48.0,Murrieta,California,Region 2,Old,2344.0,16372.0,6.984641638,14028,598.46,14028.0
48,49.0,San Angelo,Texas,Region 2,Old,2939.0,50233.0,17.09186798,47294,1609.19,47294.0
49,50.0,Olathe,Kansas,Region 2,Old,3082.0,41460.0,13.4523037,38378,1245.23,38378.0
50,51.0,Akron,Ohio,Region 1,Old,2338.0,50364.0,21.54148845,48026,2054.15,48026.0
51,52.0,Fullerton,California,Region 2,Old,3246.0,44223.0,13.62384473,40977,1262.38,40977.0
52,53.0,Manchester,New Hampshire,Region 1,Old,2374.0,17006.0,7.163437237,14632,616.34,14632.0
53,54.0,Everett,Washington,Region 2,Old,3129.0,15562.0,4.973473953,12433,397.35,12433.0
54,55.0,West Covina,California,Region 2,Old,2939.0,21824.0,7.425654985,18885,642.57,18885.0
55,56.0,Thornton,Colorado,Region 2,Old,2642.0,46490.0,17.59651779,43848,1659.65,43848.0
56,57.0,Hampton,Virginia,Region 1,Old,2871.0,38782.0,13.5081853,35911,1250.82,35911.0
57,58.0,Waterbury,Connecticut,Region 1,Old,3392.0,19350.0,5.704599057,15958,470.46,15958.0
58,59.0,Ventura,California,Region 2,Old,3228.0,16652.0,5.158612144,13424,415.86,13424.0
59,60.0,Davenport,Iowa,Region 1,Old,3175.0,23764.0,7.484724409,20589,648.47,20589.0
60,61.0,Columbia,South Carolina,Region 1,Old,2874.0,42803.0,14.89318024,39929,1389.32,39929.0
61,62.0,Simi Valley,California,Region 2,Old,2792.0,41110.0,14.72421203,38318,1372.42,38318.0
62,63.0,Richmond,California,Region 2,Old,3924.0,19448.0,4.956167176,15524,395.62,15524.0
63,64.0,Little Rock,Arkansas,Region 2,Old,2440.0,68828.0,28.20819672,66388,2720.82,66388.0
64,65.0,El Cajon,California,Region 2,Old,2950.0,19529.0,6.62,16579,562.0,16579.0
65,66.0,Santa Clara,California,Region 2,Old,2462.0,29008.0,11.78229082,26546,1078.23,26546.0
66,67.0,Oceanside,California,Region 2,Old,3084.0,55684.0,18.05577173,52600,1705.58,52600.0
67,68.0,Davie,Florida,Region 1,Old,3177.0,45418.0,14.29587661,42241,1329.59,42241.0
68,69.0,Lakeland,Florida,Region 1,Old,3003.0,18297.0,6.092907093,15294,509.29,15294.0
69,70.0,Centennial,Colorado,Region 2,Old,3697.0,18966.0,5.130105491,15269,413.01,15269.0
70,71.0,Lowell,Massachusetts,Region 1,Old,2857.0,18838.0,6.593629681,15981,559.36,15981.0
71,72.0,Ontario,California,Region 2,Old,3168.0,52078.0,16.43876263,48910,1543.88,48910.0
72,73.0,Palm Bay,Florida,Region 1,Old,2943.0,25321.0,8.603805641,22378,760.38,22378.0
73,74.0,Murfreesboro,Tennessee,Region 2,Old,2777.0,40545.0,14.60028808,37768,1360.03,37768.0
74,75.0,Vancouver,Washington,Region 2,Old,3329.0,58951.0,17.70832082,55622,1670.83,55622.0
75,76.0,Topeka,Kansas,Region 2,Old,2854.0,40921.0,14.33812193,38067,1333.81,38067.0
